ticker,date,period_ending,estimate,reported,surprise,surprise%
D,4-May-21,21-Mar,1.08,1.09,0.01,0.93
DAL,15-Apr-21,21-Mar,-3.08,-3.55,-0.47,-15.26
DAR,11-May-21,21-Mar,0.57,0.9,0.33,57.89
DBX,6-May-21,21-Mar,0.3,0.35,0.05,16.67
DCI,2-Jun-21,21-Apr,0.58,0.66,0.08,13.79
DCT,5-Apr-21,21-Feb,-0.03,0.01,0.04,133.33
DD,4-May-21,21-Mar,0.77,0.91,0.14,18.18
DDOG,6-May-21,21-Mar,0.03,0.06,0.03,100
DE,21-May-21,21-Apr,4.44,5.68,1.24,27.93
DECK,20-May-21,21-Mar,0.58,1.18,0.6,103.45
DEI,4-May-21,21-Mar,0.43,0.06,-0.37,-86.05
DELL,27-May-21,21-Apr,1.55,2.13,0.58,37.42
DFS,21-Apr-21,21-Mar,2.88,5.04,2.16,75
DG,27-May-21,21-Apr,2.14,2.82,0.68,31.78
DGX,22-Apr-21,21-Mar,3.77,3.76,-0.01,-0.27
DHI,22-Apr-21,21-Mar,2.2,2.53,0.33,15
DHR,22-Apr-21,21-Mar,1.67,2.52,0.85,50.9
DIS,13-May-21,21-Mar,0.29,0.79,0.5,172.41
DISCA,28-Apr-21,21-Mar,0.61,0.21,-0.4,-65.57
DISCK,28-Apr-21,21-Mar,0.61,0.21,-0.4,-65.57
DISH,29-Apr-21,21-Mar,0.83,0.99,0.16,19.28
DKNG,7-May-21,21-Mar,-0.51,-0.87,-0.36,-70.59
DKS,26-May-21,21-Apr,1.04,3.79,2.75,264.42
DLB,4-May-21,21-Mar,0.67,0.91,0.24,35.82
DLR,29-Apr-21,21-Mar,1.59,1.5,-0.09,-5.66
DLTR,27-May-21,21-Apr,1.4,1.6,0.2,14.29
DNB,5-May-21,21-Mar,0.21,0.23,0.02,9.52
DOCU,3-Jun-21,21-Apr,0.27,0.44,0.17,62.96
DOV,20-Apr-21,21-Mar,1.47,1.81,0.34,23.13
DOW,22-Apr-21,21-Mar,1.1,1.36,0.26,23.64
DOX,12-May-21,21-Mar,1.14,1.13,-0.01,-0.88
DPZ,29-Apr-21,21-Mar,2.94,3,0.06,2.04
DRE,28-Apr-21,21-Mar,0.39,0.21,-0.18,-46.15
DRI,25-Mar-21,21-Feb,0.72,0.98,0.26,36.11
DT,12-May-21,21-Mar,0.14,0.15,0.01,7.14
DTE,27-Apr-21,21-Mar,2.16,2.44,0.28,12.96
DUK,10-May-21,21-Mar,1.24,1.26,0.02,1.61
DV,25-May-21,21-Mar,0.07,0.04,-0.03,-42.86
DVA,29-Apr-21,21-Mar,1.8,2.09,0.29,16.11
DVN,4-May-21,21-Mar,0.35,0.45,0.1,28.57
DXC,26-May-21,21-Mar,0.7,0.74,0.04,5.71
DXCM,29-Apr-21,21-Mar,0.31,0.33,0.02,6.45
EA,11-May-21,21-Mar,1.04,1.03,-0.01,-0.96
EBAY,28-Apr-21,21-Mar,1.07,1.09,0.02,1.87
ECL,27-Apr-21,21-Mar,0.82,0.81,-0.01,-1.22
ED,6-May-21,21-Mar,1.36,1.43,0.07,5.15
EEFT,28-Apr-21,21-Mar,0.35,0.23,-0.12,-34.29
EFX,21-Apr-21,21-Mar,1.52,1.97,0.45,29.61
EHC,27-Apr-21,21-Mar,0.8,1.05,0.25,31.25
EIX,27-Apr-21,21-Mar,0.76,0.79,0.03,3.95
EL,3-May-21,21-Mar,1.29,1.62,0.33,25.58
ELAN,7-May-21,21-Mar,0.23,0.37,0.14,60.87
ELS,19-Apr-21,21-Mar,0.6,0.36,-0.24,-40
EMN,29-Apr-21,21-Mar,2.03,2.13,0.1,4.93
EMR,5-May-21,21-Mar,0.9,0.97,0.07,7.78
ENPH,27-Apr-21,21-Mar,0.41,0.56,0.15,36.59
ENTG,27-Apr-21,21-Mar,0.72,0.7,-0.02,-2.78
EOG,6-May-21,21-Mar,1.44,1.62,0.18,12.5
EPAM,6-May-21,21-Mar,1.68,1.81,0.13,7.74
EPR,5-May-21,21-Mar,0.44,-0.04,-0.48,-109.09
EQH,5-May-21,21-Mar,1.23,1.13,-0.1,-8.13
EQIX,28-Apr-21,21-Mar,6.63,4.07,-2.56,-38.61
EQR,27-Apr-21,21-Mar,0.68,0.15,-0.53,-77.94
EQT,5-May-21,21-Mar,0.27,0.3,0.03,11.11
ERIE,29-Apr-21,21-Mar,1.41,1.41,0,0
ES,10-May-21,21-Mar,1.1,1.15,0.05,4.55
ESI,28-Apr-21,21-Mar,0.32,0.37,0.05,15.63
ESS,27-Apr-21,21-Mar,3.04,2.43,-0.61,-20.07
ESTC,2-Jun-21,21-Apr,-0.16,-0.08,0.08,50
ETN,4-May-21,21-Mar,1.25,1.44,0.19,15.2
ETR,28-Apr-21,21-Mar,1.19,1.47,0.28,23.53
ETSY,5-May-21,21-Mar,0.84,1,0.16,19.05
EVBG,10-May-21,21-Mar,-0.11,0.18,0.29,263.64
EVR,28-Apr-21,21-Mar,2.63,3.29,0.66,25.1
EVRG,6-May-21,21-Mar,0.47,0.55,0.08,17.02
EW,20-Apr-21,21-Mar,0.47,0.54,0.07,14.89
EWBC,22-Apr-21,21-Mar,1.23,1.44,0.21,17.07
EXAS,4-May-21,21-Mar,-1.04,-0.18,0.86,82.69
EXC,5-May-21,21-Mar,0.34,-0.06,-0.4,-117.65
EXP,19-May-21,21-Mar,1.31,1.56,0.25,19.08
EXPD,4-May-21,21-Mar,1,1.67,0.67,67
EXPE,6-May-21,21-Mar,-2.52,-2.02,0.5,19.84
EXR,28-Apr-21,21-Mar,1.49,1.53,0.04,2.68
F,28-Apr-21,21-Mar,0.16,0.89,0.73,456.25
FAF,22-Apr-21,21-Mar,1.29,1.64,0.35,27.13
FANG,3-May-21,21-Mar,1.73,2.3,0.57,32.95
FAST,13-Apr-21,21-Mar,0.37,0.37,0,0
FB,28-Apr-21,21-Mar,2.36,3.3,0.94,39.83
FBHS,29-Apr-21,21-Mar,1.04,1.36,0.32,30.77
FCN,29-Apr-21,21-Mar,1.18,1.89,0.71,60.17
FCX,22-Apr-21,21-Mar,0.51,0.51,0,0
FDS,30-Mar-21,21-Feb,2.74,2.72,-0.02,-0.73
FDX,18-Mar-21,21-Feb,3.21,3.47,0.26,8.1
FE,22-Apr-21,21-Mar,0.68,0.69,0.01,1.47
FFIV,27-Apr-21,21-Mar,2.39,2.5,0.11,4.6
FHB,23-Apr-21,21-Mar,0.46,0.44,-0.02,-4.35
FHN,21-Apr-21,21-Mar,0.37,0.51,0.14,37.84
FICO,5-May-21,21-Mar,2.76,3.06,0.3,10.87
FIS,6-May-21,21-Mar,1.25,1.3,0.05,4
FISV,27-Apr-21,21-Mar,1.13,1.17,0.04,3.54
FITB,20-Apr-21,21-Mar,0.69,0.93,0.24,34.78
FIVE,3-Jun-21,21-Apr,0.66,0.88,0.22,33.33
FIVN,29-Apr-21,21-Mar,0.13,0.23,0.1,76.92
FL,21-May-21,21-Apr,1.14,1.96,0.82,71.93
FLO,20-May-21,21-Mar,0.37,0.41,0.04,10.81
FLS,3-May-21,21-Mar,0.2,0.28,0.08,40
FLT,5-May-21,21-Mar,2.7,2.82,0.12,4.44
FMC,5-May-21,21-Mar,1.52,1.53,0.01,0.66
FNB,19-Apr-21,21-Mar,0.26,0.28,0.02,7.69
FND,6-May-21,21-Mar,0.53,0.68,0.15,28.3
FNF,6-May-21,21-Mar,1.28,1.56,0.28,21.88
FOXA,5-May-21,21-Mar,0.58,0.88,0.3,51.72
FR,21-Apr-21,21-Mar,0.46,0.48,0.02,4.35
FRC,14-Apr-21,21-Mar,1.54,1.79,0.25,16.23
FRPT,3-May-21,21-Mar,-0.02,-0.26,-0.24,-1200
FRT,5-May-21,21-Mar,1.02,0.6,-0.42,-41.18
FSLR,29-Apr-21,21-Mar,1,1.96,0.96,96
FSLY,5-May-21,21-Mar,-0.11,-0.12,-0.01,-9.09
FTDR,6-May-21,21-Mar,0.09,0.1,0.01,11.11
FTNT,29-Apr-21,21-Mar,0.74,0.81,0.07,9.46
FTV,29-Apr-21,21-Mar,0.6,0.63,0.03,5
FWONK,7-May-21,21-Mar,-0.34,-0.2,0.14,41.18
G,10-May-21,21-Mar,0.49,0.59,0.1,20.41
GD,28-Apr-21,21-Mar,2.31,2.48,0.17,7.36
GDDY,5-May-21,21-Mar,0.31,0.06,-0.25,-80.65
GE,27-Apr-21,21-Mar,0.16,0.24,0.08,50
GGG,21-Apr-21,21-Mar,0.5,0.58,0.08,16
GH,6-May-21,21-Mar,-0.82,-0.49,0.33,40.24
GILD,29-Apr-21,21-Mar,2.06,2.08,0.02,0.97
GIS,24-Mar-21,21-Feb,0.84,0.82,-0.02,-2.38
GLOB,13-May-21,21-Mar,0.81,0.83,0.02,2.47
GLPI,29-Apr-21,21-Mar,0.83,0.54,-0.29,-34.94
GLW,27-Apr-21,21-Mar,0.42,0.45,0.03,7.14
GM,5-May-21,21-Mar,1.02,2.25,1.23,120.59
GME,9-Jun-21,21-Apr,-0.67,-0.45,0.22,32.84
GMED,4-May-21,21-Mar,0.36,0.49,0.13,36.11
GNRC,29-Apr-21,21-Mar,1.9,2.38,0.48,25.26
GNTX,23-Apr-21,21-Mar,0.49,0.46,-0.03,-6.12
GO,11-May-21,21-Mar,0.22,0.23,0.01,4.55
GOOG,27-Apr-21,21-Mar,15.66,26.29,10.63,67.88
GOOGL,27-Apr-21,21-Mar,15.66,26.29,10.63,67.88
GPC,22-Apr-21,21-Mar,1.21,1.5,0.29,23.97
GPK,27-Apr-21,21-Mar,0.25,0.23,-0.02,-8
GPN,4-May-21,21-Mar,1.77,1.82,0.05,2.82
GPS,27-May-21,21-Apr,-0.02,0.48,0.5,2500
GRMN,28-Apr-21,21-Mar,0.88,1.18,0.3,34.09
GS,14-Apr-21,21-Mar,9.79,18.6,8.81,89.99
GTES,10-May-21,21-Mar,0.32,0.33,0.01,3.13
GWRE,2-Jun-21,21-Apr,-0.24,-0.16,0.08,33.33
GWW,30-Apr-21,21-Mar,4.31,4.48,0.17,3.94
H,4-May-21,21-Mar,-1.33,-3.57,-2.24,-168.42
HAIN,6-May-21,21-Mar,0.38,0.44,0.06,15.79
